💞央视,#genre#
东南卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226182/index.m3u8
湖南卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226193/index.m3u8
安徽卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226205/index.m3u8
江西卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226207/index.m3u8
重庆卫视,http://110.89.11.40:4200/rtp/239.61.2.250:9488
四川卫视,http://110.89.11.40:4200/rtp/239.61.2.251:9494
东方卫视,http://110.89.11.40:4200/rtp/239.61.2.28:8162
浙江卫视,http://110.89.11.40:4200/rtp/239.61.2.29:8168
湖南卫视,http://58.54.214.230:4000/rtp/239.254.96.139:8908
广东卫视,http://58.54.214.230:4000/rtp/239.254.96.140:8914
北京卫视,http://58.54.214.230:4000/rtp/239.254.96.141:8920
东方卫视,http://58.54.214.230:4000/rtp/239.254.96.142:8926
浙江卫视,http://58.54.214.230:4000/rtp/239.254.96.143:8932
江苏卫视,http://58.54.214.230:4000/rtp/239.254.96.144:8938


💞浙江地方台,#genre#

国际频道,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
钱江频道,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
钱江频道,http://ali-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江经济,http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
教科影视,http://ali-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
钱江频道,http://125.118.101.3:4022/udp/233.50.201.132:5140

浙江民生,http://125.118.101.3:4022/udp/233.50.201.136:5140
浙江新闻,http://125.118.101.3:4022/udp/233.50.201.137:5140
钱江频道,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8

💞数字频道,#genre#

CHC动作电影,http://113.57.109.48:1111/tsfile/live/1045_1.m3u8
CHC影迷电影,http://119.98.71.95:8888/udp/239.69.1.241:11088
CHC-动作电影,http://27.16.219.181:4022/rtp/239.69.1.242:11094
CHC-家庭影院,http://27.16.219.181:4022/rtp/239.69.1.243:11100
CHC高清电影,http://58.48.5.186:1111/tsfile/live/0142_1.m3u8
CHC-高清电影,http://58.54.214.230:4000/rtp/239.69.1.241:11088
CHC-动作电影,http://58.54.214.230:4000/rtp/239.69.1.242:11094
CHC-家庭影院,http://58.54.214.230:4000/rtp/239.69.1.243:11100
CHC高清电影,http://ik6.iptv8.net:8888/udp/225.1.4.207:1260
CHC动作电影,http://ik6.iptv8.net:8888/udp/225.1.4.208:1261
CHC影迷电影,http://[2001:250:5800:1005::155]:80/liverespath/bca6167afdef7fc773405c38e695b342c1d1eca0/index.m3u8
CHC动作电影,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000004000018653/
CHC动作电影,http://[2001:250:5800:1005::155]:80/liverespath/e0096742f0c5be4c5225cf3c7ab1077177bec05f/index.m3u8


