📺央视频道,#genre#
天津卫视,http://118.122.189.74:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://60.12.183.46:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://222.169.85.8:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://59.48.75.130:3052/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://61.157.139.15:9901/tsfile/live/2401_1.m3u8?key=txiptv&playlive=1&authid=0

🏠浙江频道,#genre#
钱江频道,http://125.119.249.101:4022/udp/233.50.201.132:5140
钱江频道,http://220.184.29.87:55555/udp/233.50.201.132:5140
钱江频道,http://36.27.61.18:82/udp/233.50.201.132:5140
浙江news,http://125.119.249.101:4022/udp/233.50.201.137:5140
浙江news,http://220.184.29.87:55555/udp/233.50.201.137:5140
浙江news,http://36.27.61.18:82/udp/233.50.201.137:5140
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江民生,http://125.119.249.101:4022/udp/233.50.201.136:5140
浙江民生,http://220.184.29.87:55555/udp/233.50.201.136:5140
浙江民生,http://36.27.61.18:82/udp/233.50.201.136:5140
浙江经济生活,http://125.119.249.101:4022/udp/233.50.201.133:5140
浙江经济生活,http://220.184.29.87:55555/udp/233.50.201.133:5140
浙江经济生活,http://36.27.61.18:82/udp/233.50.201.133:5140
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
宁波TV1,http://125.119.249.101:4022/udp/233.50.201.168:5140
宁波TV1,http://220.184.29.87:55555/udp/233.50.201.168:5140
宁波TV1,http://36.27.61.18:82/udp/233.50.201.168:5140
宁波TV2,http://125.119.249.101:4022/udp/233.50.201.178:5140
宁波TV2,http://220.184.29.87:55555/udp/233.50.201.178:5140
宁波TV2,http://36.27.61.18:82/udp/233.50.201.178:5140
宁波TV3,http://125.119.249.101:4022/udp/233.50.201.179:5140
宁波TV3,http://220.184.29.87:55555/udp/233.50.201.179:5140
宁波TV3,http://36.27.61.18:82/udp/233.50.201.179:5140
宁波TV4,http://125.119.249.101:4022/udp/233.50.201.180:5140
宁波TV4,http://220.184.29.87:55555/udp/233.50.201.180:5140
宁波TV4,http://36.27.61.18:82/udp/233.50.201.180:5140
宁波TV5,http://125.119.249.101:4022/udp/233.50.201.181:5140
宁波TV5,http://220.184.29.87:55555/udp/233.50.201.181:5140
宁波TV5,http://36.27.61.18:82/udp/233.50.201.181:5140
杭州1综合,http://125.119.249.101:4022/udp/233.50.201.173:5140
杭州1综合,http://220.184.29.87:55555/udp/233.50.201.173:5140
杭州1综合,http://36.27.61.18:82/udp/233.50.201.173:5140
杭州2明珠,http://125.119.249.101:4022/udp/233.50.201.174:5140
杭州2明珠,http://220.184.29.87:55555/udp/233.50.201.174:5140
杭州2明珠,http://36.27.61.18:82/udp/233.50.201.174:5140
杭州3生活,http://125.119.249.101:4022/udp/233.50.201.175:5140
杭州3生活,http://220.184.29.87:55555/udp/233.50.201.175:5140
杭州3生活,http://36.27.61.18:82/udp/233.50.201.175:5140
杭州4影视,http://125.119.249.101:4022/udp/233.50.201.176:5140
杭州4影视,http://220.184.29.87:55555/udp/233.50.201.176:5140
杭州4影视,http://36.27.61.18:82/udp/233.50.201.176:5140
杭州5青少,http://125.119.249.101:4022/udp/233.50.201.177:5140
杭州5青少,http://220.184.29.87:55555/udp/233.50.201.177:5140
杭州5青少,http://36.27.61.18:82/udp/233.50.201.177:5140
🏠咪咕频道,#genre#
咪咕4K 1,http://gslbserv.itv.cmvideo.cn/3000000010000005180/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000005180&livemode=1&stbId=3
咪咕4K 2,http://gslbserv.itv.cmvideo.cn/3000000010000015686/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=3
求索动物,http://gslbserv.itv.cmvideo.cn/6000000002000010046/1.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
求索纪录,http://gslbserv.itv.cmvideo.cn/6000000002000032052/1.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
求索科学,http://gslbserv.itv.cmvideo.cn/6000000002000032344/1.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
求索生活,http://gslbserv.itv.cmvideo.cn/6000000002000003382/1.m3u8?channel-id=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=3
🏠NewTV频道,#genre#
NewTV精品综合,http://gslbserv.itv.cmvideo.cn/1000000004000019008/1.m3u8?channel-id=ystenlive&Contentid=1000000004000019008&livemode=1&stbId=3
NewTV精品大剧,http://gslbserv.itv.cmvideo.cn/1000000004000013968/1.m3u8?channel-id=ystenlive&Contentid=1000000004000013968&livemode=1&stbId=3
NewTV精品纪录,http://gslbserv.itv.cmvideo.cn/1000000004000013730/1.m3u8?channel-id=ystenlive&Contentid=1000000004000013730&livemode=1&stbId=3
NewTV精品体育,http://gslbserv.itv.cmvideo.cn/1000000004000014634/1.m3u8?channel-id=ystenlive&Contentid=1000000004000014634&livemode=1&stbId=3
NewTV爱情喜剧,http://gslbserv.itv.cmvideo.cn/2000000003000000010/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000010&livemode=1&stbId=3
NewTV超级电视剧,http://gslbserv.itv.cmvideo.cn/1000000006000268003/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268003&livemode=1&stbId=3
NewTV超级电影,http://gslbserv.itv.cmvideo.cn/1000000003000012426/1.m3u8?channel-id=ystenlive&Contentid=1000000003000012426&livemode=1&stbId=3
NewTV超级体育,http://gslbserv.itv.cmvideo.cn/1000000001000009601/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009601&livemode=1&stbId=3
NewTV超级综艺,http://gslbserv.itv.cmvideo.cn/1000000006000268002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268002&livemode=1&stbId=3
NewTV动作电影,http://gslbserv.itv.cmvideo.cn/1000000004000018653/1.m3u8?channel-id=ystenlive&Contentid=1000000004000018653&livemode=1&stbId=3
NewTV古装剧场,http://gslbserv.itv.cmvideo.cn/2000000003000000024/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000024&livemode=1&stbId=3
NewTV欢乐剧场,http://gslbserv.itv.cmvideo.cn/1000000005000266012/1.m3u8?channel-id=ystenlive&Contentid=1000000005000266012&livemode=1&stbId=3
NewTV家庭剧场,http://gslbserv.itv.cmvideo.cn/1000000004000008284/1.m3u8?channel-id=ystenlive&Contentid=1000000004000008284&livemode=1&stbId=3
NewTV金牌综艺,http://gslbserv.itv.cmvideo.cn/1000000004000026167/1.m3u8?channel-id=ystenlive&Contentid=1000000004000026167&livemode=1&stbId=3
NewTV军旅剧场,http://gslbserv.itv.cmvideo.cn/2000000003000000014/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000014&livemode=1&stbId=3
NewTV军事评论,http://gslbserv.itv.cmvideo.cn/2000000003000000022/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000022&livemode=1&stbId=3
NewTV明星大片,http://gslbserv.itv.cmvideo.cn/2000000003000000016/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000016&livemode=1&stbId=3
NewTV黑莓电影,http://gslbserv.itv.cmvideo.cn/1000000004000019624/1.m3u8?channel-id=ystenlive&Contentid=1000000004000019624&livemode=1&stbId=3
iHOT爱院线,http://gslbserv.itv.cmvideo.cn/6000000006000030630/1.m3u8?channel-id=wasusyt&Contentid=6000000006000030630&livemode=1&stbId=3
🌊港·澳·台,#genre#
凤凰中文,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文,http://58.144.154.93:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰中文,http://42.92.117.243:8888/rtp/239.255.30.50:8231
凤凰中文,http://60.164.128.167:8029/rtp/239.255.30.50:8231
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯,http://42.92.117.243:8888/rtp/239.255.30.70:8231
凤凰香港,http://58.144.154.93:80/qctv.fengshows.cn/0701phk72.m3u8
凤凰香港,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰香港,http://60.164.128.167:8029/rtp/239.255.30.123:8231
凤凰香港,http://42.92.117.243:8888/rtp/239.255.30.123:8231
凤凰卫视,http://211.72.65.236:8576/.m3u8
凤凰卫视,http://211.72.65.236:8577/.m3u8
无线新闻,http://aktv.top/AKTV/live/aktv/null-20/AKTV.m3u8
无线新闻,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
无线新闻,https://nothingbe.serv00.net/tvb.php?id=C&type=hd
三立新闻,http://211.72.65.236:8543/.m3u8

🎬电影频道,#genre#
CHC家庭影院,http://218.76.32.193:9901/tsfile/live/1018_1.m3u8
